Username,Followers,Average Likes,Average Comments,Average Engagement Rate,Engagement Rate (60 Days),Posting frequency (last 60 days),Posts (image),Posts (videos),Posts (carousel),Average Hashtags / Post (60 Days),Hashtags (dictionary)
fbyputrinc,2675387,,,,2.4046,23,3,3,17,0,{}
nashwaaaz,2100824,,,,2.1018,6,0,4,2,0.667,"{'everygivmatters': 1, 'extraoudinarybright': 1, 'putusinketombeposesif': 1, 'confidenceinabottle': 1}"
ybrap,5553767,193470.57,2237.57,3.5239,1.6276,12,0,6,6,2.25,"{'weirdgenius': 3, 'dj': 2, 'titituwit': 1, 'ade': 1, 'monstercat': 1, 'sabilulungan': 1, 'nyundaheula': 1, 'dnb': 2, 'rave': 1, 'metal': 2, 'askingalexandria': 2, 'metalhead': 1, 'remix': 2, 'wg': 1, 'edm': 1, 'party': 1, 'music': 1, 'metalheads': 1, 'drumandbass': 1, 'badblood': 1}"
sarahvilo.id,5504035,65608.2,614.56,1.2032,0.3529,3,0,2,1,0,{}
nikitamirzanimawardi_172,15503081,102893.23,1002.21,0.6702,1.2271,16,0,6,10,0.375,"{'deletedsoon': 1, 'livemylife': 1, 'vacation': 1, 'canthardlywait': 1, 'halloween24': 1, 'bettyboop': 1}"
fatehhalilintar,5407407,158457.37,2293.82,2.9728,1.2743,7,1,1,5,1.143,"{'albumcover': 1, 'likethat': 1, 'wedonttrustyou': 1, 'cosplay': 1, 'shopeefooddiskonramerame': 1, 'shopeefood': 1, 'mendingshopeefood': 1, 'shooting': 1}"
keanuagl,5327467,217496.35,1102.64,4.1032,2.3651,18,4,7,7,0.333,"{'stretchmarks': 1, 'stretchmark': 1, 'stretchmarkserum': 1, 'stretchmarkoil': 1, 'ciaraindonesia': 1, 'marlenebdayrocktheboat': 1}"
emma_maembongofficial,5247276,44043.18,394.33,0.8469,0.3082,10,2,6,1,3.3,"{'janganpandangbelakang2': 2, 'akutahuasalusulmu': 2, 'jpb2': 1, 'janganpandangbelakang': 1, 'pierreandre': 2, 'emmamaembong': 2, 'iedilputra': 2, 'seributahun': 4, 'radiusone': 2, 'ramadan2025': 1, 'dramaradiusone': 2, 'radiusoneofficial': 2, 'alifhadi': 1, 'mawarrashid': 1, 'khatijahtan': 1, 'berryoat': 1, 'mynivea': 1, 'nivealuminous630': 1, 'disahkanolehpakar': 1, 'niveauntukkulit': 1, 'kulitbebascela': 1, 'berryshape': 1}"
arutmain,4068179,29236.03,542.49,0.732,0.0784,8,0,7,1,3.125,"{'1': 1, 'trader': 1, 'crypto': 1, 'cryptotrader': 1, 'cryptocurrency': 1, 'forex': 1, 'forextrading': 1, 'forexlifestyle': 1, 'xlifestyle': 1, 'forexsignals': 1, 'easyforex': 1, 'internetmoney': 1, 'daytrader': 1, 'sidehustle': 1, 'onlinebusiness': 1, 'tradingpodcast': 1, 'podcast': 1, 'financialfreedom': 1, 'wifimoney': 1, 'onlinemoney': 1, 'trendingreel': 1, 'viral': 1, 'wayond': 1, 'wayondtv': 1, 'wayondpocast': 1}"
afgan__,5185011,40401.1,634.78,0.7914,0.5484,46,2,17,27,0.978,"{'notreadytogetoveryou': 8, 'sonderera': 4, 'aneveningwithafgan': 6, 'mtvasia': 2, 'afgan': 2, 'backstagepass': 2, 'afganliveinsingapore2024': 1, 'burberry': 1, 'itsalwaysburberryweather': 1, 'yslbeauty': 1, 'yslbeautyid': 1, 'yslholiday': 1, 'louisvuitton': 1, 'adriand': 1, 'terimakasihsudahbertahan': 1, 'adaliveinkl': 3, 'afganliveinpenang2024': 1, 'adaliveinkl2024': 2, 'afganlyodra': 1, 'knockmeout': 1, 'escape': 1, 'doyoung': 1, 'doyoung_dear_youth': 1, 'jakarta': 1}"
