Username,Followers,Average Likes,Average Comments,Average Engagement Rate,Engagement Rate (60 Days),Posting frequency (last 60 days),Posts (image),Posts (videos),Posts (carousel),Average Hashtags / Post (60 Days),Hashtags (dictionary)
djwellsampaio,8400,208.74,11.87,2.6263,3.2619,4,2,1,1,0.5,"{'deumatch': 1, 'amelhorafter': 1}"
cellphoneguys_com,6654,40.12,0.02,0.6033,0.3488,29,15,14,0,13.79,"{'northhollywood': 36, 'valleyvillage': 22, 'tolucalake': 22, 'vannuys': 22, 'sfv': 22, 'shermanoaks': 22, 'canogapark': 22, 'northridge': 22, 'westhills': 22, 'missionhills': 22, 'woodlandhills': 22, 'phonerepair': 22, 'iphonerepair': 22, 'samsungrepair': 21, 'veteransday': 1, 'cellphoneguys': 22, 'thankyouveterans': 1, 'freedomtochoose': 1, 'nocontracts': 1, 'communitytechexperts': 1, 'noho': 2, 'trustedtech': 1, 'smartupgrade': 1, 'diademuertos': 1, 'community': 1, 'happyhalloween': 1, 'apple': 13, 'huawei': 13, 'pcrepair': 13, 'shoplocal': 6}"
optika_luna,8397,42.97,1.49,0.5295,0.2645,43,8,14,21,11.58,"{'optikalunazagreb': 43, 'optika': 44, 'nao?ale': 43, 'cvike': 43, 'zagreb': 43, 'eyeweardesign': 43, 'eyeweartrends': 43, 'eyewearfashion': 43, 'details': 44, 'accessories': 44, 'trendovi': 1, 'musthave': 1, 'animalprint': 1, 'rodenstock': 1, 'bigvision': 1, 'bigvisionforall': 1, 'biometricintelligentglasses': 1, 'progressivelenses': 1, 'eyes': 1, 'lenses': 1, 'glasses': 1, 'spectacles': 1, 'eyesight': 1, 'eyehealth': 1, 'eyecare': 1, 'vision': 1, 'optician': 2, 'carolinaherreaeyewear': 1, 'carolinaherrera': 1, 'guccieyewear': 2, 'blacknovemberluna': 1, 'essiloreyezen': 1, 'trends': 1, 'miumiueyewear': 2, 'sunnycords': 1, 'petak': 1, 'trending': 1, 'faceaface_paris': 2, 'faceafaceeyewear': 2, 'pradaeyewear': 1, 'swarovskieyewear': 2, 'dolceandgabbana': 1, 'miumiu': 2, 'vikend': 1, 'svjetskidanvida': 1, 'worldsightday': 1, 'o?i': 1, 'blackfineyewear': 1, 'titaniumeyewear': 1, 'gigistudios': 1, 'wooweyewear': 1, 'woow': 1, 'sun?anenao?ale': 2, 'danruži?astevrpce': 1, 'optikalunaro?endan': 2, 'unboxing': 1, 'sretanro?endan': 1, 'opticianlife': 1, 'dioptrijskiokviri': 1, 'eyewear': 1, 'opticians': 1, 'spektreeyewear': 1, 'robertocavallieyewear': 1, 'emilyinparis': 1, 'carolineabram': 1, 'endofsummerofferluna': 1}"
snacksgeorge,5888,14.89,0.01,0.253,0.1402,39,10,0,29,0,{}
nationalofficefurniture,6946,53.38,0.29,0.7728,0,0,0,0,0,0,{}
coffeebreak_pri,7082,147.11,7.23,2.1793,2.1576,5,0,1,4,2.6,"{'cafesespeciaisdobrasil': 1, 'coffeelover': 1, 'coffeecamp': 2, 'qgrader': 2, 'barista': 1, 'agriculturaorganica': 1, 'agriculturaregenerativa': 2, 'cafesespeciais': 1, 'cursodecafesespeciais': 1, 'cursodecafes': 1}"
onurhasturk.art,6507,108.71,9.4,1.815,0,0,0,0,0,-,-
aimee_azoulay,6543,272.54,15.86,4.4078,5.2089,11,6,2,3,0,{}
,,,,,,,,,,,
itshailsbitch,6227,223.06,14.62,3.8169,2.2299,7,3,1,3,0,{}
sfcindustries,6793,62.13,3.6,0.9676,1.3867,5,3,0,2,3,"{'supercross': 1, 'moto': 1, 'sx': 1, 'thisismoto': 1, '5thgeardigital': 1, 'mxdaily': 1, 'mxphoto': 1, 'motocrossphotography': 1, 'dirtbikes': 1, 'nikon': 1, 'sportsphotography': 1, 'ausx': 1, 'morethanarace': 1, 'motocross': 1, 'aussupercross': 1}"
,,,,,,,,,,,
anamericaninluxembourg,11926,72.82,2.58,0.6323,1.1518,22,4,14,4,0,{}
,,,,,,,,,,,
pcxoficial,6619,104.2,2.82,1.6168,0.4053,17,8,7,2,14,"{'motorhonda': 14, 'honda': 28, 'motos': 28, 'pcx': 14, 'pcxbrasil': 14, 'pcx2019': 14, 'hondapcx': 14, 'pcxindonesia': 14, 'scooter': 14, 'hondamotos': 14, 'hondamotorcycles': 14, 'motorcycle': 14, 'pcxthailand': 14, 'pcx150': 14, 'pcxoficial': 14}"
,,,,,,,,,,,
,,,,,,,,,,,
missruby.co.uk,8275,29.65,3.12,0.396,0.2958,50,1,43,6,0,{}
,,,,,,,,,,,
,,,,,,,,,,,
kirillzaytsev,7816,310.64,31.9,4.3824,2.4053,1,0,0,1,1,{'1913': 1}
,,,,,,,,,,,
tatuyovich,4415,104.92,1.97,2.4211,0,0,0,0,0,0,{}
amylscrivenx,7392,33.65,2.75,0.4923,0.5073,2,1,0,1,2.5,"{'frenchbulldog': 1, 'frenchiesofinstagram': 1, 'ravelife': 1, 'ravegirls': 1, 'taunton90sfestival': 1}"
lorefreitaso,5542,293.91,12,5.5199,5.5846,2,1,0,1,0,{}
tshine____,9683,503.58,38.79,5.6013,5.1327,10,1,2,7,0,{}
nwalldesign,8496,107.65,6.95,1.3488,0.1295,1,0,1,0,0,{}
parthsuthaharan,9377,155.68,6.25,1.7269,0.8247,6,3,3,0,0.33,"{'parthsuthaharanrealestatecorp': 1, 'remax': 1}"
,,,,,,,,,,,
maelroussel,9230,94.44,6.65,1.0952,1.0602,56,26,5,25,0,{}
discoveringparenthood,9126,181.54,19.23,2.1999,1.1002,5,3,0,2,14,"{'momlife': 1, 'escapetothemountains': 1, 'squamish': 1, 'seatosky': 1, 'seatoskygondola': 1, 'snow': 1, 'suspensionbridge': 1, 'plussizefashion': 1, 'plussizestyle': 3, 'goexplore': 1, 'beautifulbritishcolumbia': 1, 'beautifulbc': 2, 'outfitinspiration': 1, 'outfitoftheday': 1, 'sipandsavour': 2, 'hflambassador': 1, 'hflvancouver': 1, 'healthylifestyle': 1, 'snacktime': 1, 'healthysnacks': 1, 'healthyfamilyliving': 1, 'funsnacks': 1, 'snacklife': 1, 'wholefoods': 1, 'sipandsavour2024': 1, 'foodstagram': 1, 'foodspotting': 1, 'familylife': 2, 'familyadventure': 1, 'familyportraits': 1, 'yarrowsidecreatives': 1, 'chilliwackbc': 2, 'chilliwackportraitphotographer': 2, 'chilliwack': 2, 'ilovebc': 1, 'familyofsix': 1, 'thankfulgratefulblessed': 1, 'thankfulforlife': 1, 'thankfulforfamily': 1, 'momoffour': 1, 'reclamationdesigncompany': 2, 'ryleeandcru': 1, 'nestandnurture': 1, 'adelisaandco': 1, 'takethephoto': 1, 'familyphotos': 1, 'mountainside': 1, 'placestogo': 1, 'placestovisit': 1, 'husbandandwife': 1, 'husbandandwifeforlife': 1, 'goldenhour': 1, 'goldenhourphotography': 1, 'honda': 1, 'hondapilot': 1, 'hondapilot2025': 1, 'familtravel': 1, 'familyvehicle': 1, 'suvlife': 1, 'notaminivan': 1, 'drivingbc': 1}"
florgayone_ibiza,10657,126.58,8.6,1.2684,3.0491,17,2,8,7,3.41,"{'utopia': 1, 'ibiza': 4, 'top': 1, 'zooproject': 2, 'thezooproject': 3, 'hikingcircus': 1, 'covasantaibiza': 2, 'dubai': 7, 'dubailife': 3, 'aroudtheworld': 1, 'florgayone': 1, 'viajesporelmundo': 1, 'theview': 1, 'city': 1, 'thepalmdubai': 1, 'sorayasainz': 1, 'jewelryart': 1, 'empowerment': 1, 'elegance': 1, 'mydubai': 1, 'dancelife': 1, 'dubailifestyle': 2, 'happyvibes': 1, 'ibizaerotica': 1, 'utopiafetishball': 1, 'ibiza24': 1, 'fashion': 1, 'tendencia': 1, 'florgayonemodel': 1, 'dreamteam': 1, 'ibizaparty': 1, 'ibiza2024': 1, 'familia': 1, 'líoibiza': 1, 'momentosúnicos': 1, 'thezoo': 2, 'covasanta': 2, 'island': 1, 'ibizaevents': 1, 'ibizamusic': 1}"
,,,,,,,,,,,
hans_petra,11734,810.25,9.36,6.985,6.6246,9,0,2,7,2.56,"{'rosesarered': 1, 'friends': 1, 'customshoes': 1, 'adidasfiveten': 1, 'valisgang': 1, 'mediacrew': 1, 'downhillworldcup': 1, 'twentyfour': 1, 'angelamerkelmove': 1, 'bikeparkschladming': 2, 'downhill': 1, 'bikelife': 1, 'planai': 2, 'whataplace': 1, 'wejustliketoridebikes': 1, 'besttrackever': 1, 'schladming': 2, 'bikepark': 1, 'content': 1, 'ridingbikes': 1}"
,,,,,,,,,,,
dfo_southwharf,13552,31.04,0.59,0.2333,0.0048,23,4,7,9,1.04,"{'thoseintheknowdfo': 16, 'thoseintheknow': 4, 'dfothisdiwali': 1, 'dfodiwali': 3}"
fabian_henniges,8216,57.05,2.74,0.7277,0,0,0,0,0,0,{}
,,,,,,,,,,,
abigailculver,9542,485.61,25.1,5.3521,6.1203,1,0,0,1,0,{}
