,Followers,Average_Likes,Average_Comments,Average_Engagement_Rate,Engagement_Rate_(60_Days),Posting_frequency_(last_60_days),Posts_(image),Posts_(videos),Posts_(carousel),Average_Hashtags_/_Post_(60_Days),Hashtags_(dictionary)
41,2054,164.37,11.45,8.5597,10.6621,1,0,0,1,0.0,{}
42,4055,62.9,2.36,1.6094,2.7713,8,0,6,2,15.0,"{'muasingaraja': 4, 'muaseririt': 4, 'salonsingaraja': 4, 'salonseririt': 4, 'muabali': 4, 'muapupuan': 4, 'muakarangasem': 4, 'muanegare': 4, 'muatabanan': 4, 'muabadung': 4, 'muamengwi': 4, 'payasmetatah': 4, 'payasmetatahmadya': 4, 'payasngidih': 4, 'payasngidihbali': 4, 'payasmepadik': 4, 'payasagung': 4, 'payasagungmodifikasi': 4, 'payasagungmetatah': 4, 'payasdeeng': 4, 'riasresepsi': 4, 'payasklasik': 4, 'prewedmurah': 4, 'payasresepsi': 4, 'mahaliniraharja': 4, 'metatah': 4, 'muabuleleng': 4, 'riasgraduation': 4, 'preweddingphotography': 4, 'payasmesangih': 4}"
43,5628,268.93,60.87,5.86,3.376,4,0,3,1,25.0,"{'wisatajateng': 4, 'curugjenggala': 1, 'wisatabanyumas': 1, 'explorepurwokerto': 1, 'purwokerto': 1, 'wisata': 1, 'wisatajogjajateng': 1, 'parapejalan': 4, 'wisataindonesia': 3, 'exploreindonesia': 5, 'travel': 3, 'outdoors': 3, 'adventure': 3, 'inspiration': 1, 'quote': 1, 'deep': 1, 'peace': 1, 'quotes': 1, 'heal': 1, 'green': 1, 'forest': 1, 'nature': 3, 'beautifuldestinations': 3, 'cinema': 1, 'wood': 1, 'waterfalls': 1, 'wonosobo': 3, 'explorewonosobo': 3, 'explorejateng': 2, 'explore': 2, 'travelgram': 2, 'folkscenery': 2, 'folkgreen': 2, 'folkindonesia': 2, 'photography': 2, 'landscape': 2, 'earthoffical': 2, 'earthpix': 2, 'tbt': 2, 'discoverearth': 2, 'bhfyp': 2, 'pesonaindonesia': 2, 'jawatengah': 2, 'dieng': 3, 'wisatadieng': 2, 'cengkul3': 1, 'mountravaddict': 1, 'gunungcilik': 1, 'banjarnegara': 1, 'temanggung': 1, 'magelang': 1, 'semarang': 1, 'exploredieng': 1, 'mount': 1, 'gunung': 1, 'mountain': 1}"
44,6379,32.47,1.92,0.5392,0.2148,91,0,5,86,0.418,"{'realtreecamo': 8, 'realtree': 3, 'realtreehat': 2, 'topivintage': 8, 'topiarmy': 6, 'topisecond': 1, 'militarymarketindonesia': 6, 'topirealtree': 4}"
45,8749,219.33,19.67,2.7317,1.8377,9,3,5,1,0.778,"{'singapore': 1, 'fullertonbayhotel': 1, 'physicalhq': 1, 'strongliftschallenge': 1, 'fitnesschallenge': 1, 'freedive': 2}"
46,2330,69.02,14.81,3.5976,3.6824,5,1,3,1,3.2,"{'salsadancing': 1, 'salsa': 1, 'halloweencostume': 1, 'thebackbonefitness': 2, 'linedancebatam': 2, 'salsashinebatamcentre': 2, 'halloween': 1, 'myself': 1, 'love': 1, 'loveyourself': 1, 'vacation': 1, 'batam': 1, 'bintan': 1}"
47,6478,119.31,11.9,2.0256,1.2765,13,1,12,0,0.538,"{'xfc': 1, 'mma': 1, 'marathon': 1, 'freepmarathon': 1, 'run': 1, 'training': 1, 'repthe313': 1}"
48,5593,102.81,2.01,1.8741,0.0,0,0,0,0,0.0,{}
49,6269,32.31,1.5,0.5394,0.0258,10,9,1,0,29.0,"{'islandwokbali': 20, 'islandwok': 10, 'chinesefood': 10, 'chinesefoodbali': 10, 'balicafe': 10, 'canggucafe': 20, 'cafebali': 10, 'canggu': 10, 'thebalibible': 10, 'balifood': 10, 'balirestaurant': 10, 'canggufood': 10, 'canggueats': 10, 'wheretoeatbali': 10, 'balifoodies': 10, 'deliciousbali': 10, 'guguide': 10, 'canggufoodies': 10, 'canggulife': 10, 'cangguguide': 10, 'eatinbali': 10, 'foodbali': 10, 'balieats': 10, 'canggucommunity': 10, 'cafecanggu': 10, 'restaurantcanggu': 10, 'restaurantbali': 10}"
50,8617,58.99,2.53,0.7139,0.4944,10,0,10,0,10.0,"{'yaoyatokobahankuemataram': 10, 'yaoyatbk': 10, 'tobakumataram': 10, 'yaoyatokobahankue': 10, 'tobakumataramlombok': 10, 'yaoyatokobahankuemurah': 10, 'tobakumataramonline': 10, 'tobakuonline': 10, 'yaoya': 10, 'tobaku': 10}"
