Followers,Average_Likes,Average_Comments,Average_Engagement_Rate,Engagement_Rate_(60_Days),Posting_frequency_(last_60_days),Posts_(image),Posts_(videos),Posts_(carousel),Average_Hashtags_/_Post_(60_Days)
78572117,1172499.9,3965.17,1.4973,1.0579,39,26,5,8,7.41
75751033,973225.62,6292.06,1.2931,0.7295,24,5,11,8,0.333
74890004,2555316.25,6586.71,3.4209,3.1771,5,0,2,3,0.2
74552708,205719.22,2673.9,0.2795,0.1649,754,96,579,79,0.853
74516736,1237162.25,4077.07,1.6657,0.8163,34,10,7,17,0.382
73424750,1609147.0,6224.39,2.2,1.8881,50,17,15,18,1.92
73016997,148111.84,389.13,0.2034,0.0287,178,29,125,24,0.652
72335779,2454367.87,10607.12,3.4077,3.3776,12,1,2,9,0.417
70376999,1530347.0,7334.27,2.1849,0.8883,9,1,3,5,0.667
69407554,3500515.0,23995.51,5.078,2.5101,29,1,14,14,0.0
68938585,374008.69,1014.69,0.544,0.308,1660,102,821,737,0.559
68330604,2953851.5,24367.34,4.3585,2.3288,25,3,17,5,0.12
68085856,5080827.58,42238.5,7.5244,11.4819,35,9,1,25,0.0
67796542,1544528.95,4756.23,2.2852,1.3679,7,2,4,1,4.286
67657871,5408241.0,27396.79,8.034,12.607,12,1,8,3,0.417
67428908,1759431.13,6892.53,2.6195,4.1351,43,7,14,22,1.581
67398061,891414.08,4286.84,1.329,0.5793,50,10,22,18,1.62
67107508,1858345.0,6711.49,2.7792,0.01,0,0,0,0,0.0
65962589,4172263.17,35250.46,6.3786,7.2041,36,25,11,0,3.417
65597009,1674335.25,8971.83,2.5661,3.7466,7,1,2,4,3.143
65477707,614677.0,6039.92,0.948,0.3852,16,3,11,2,0.625
65358436,328737.6,1066.22,0.5046,0.502,165,23,80,62,1.394
64375364,1853523.93,7368.13,2.8907,1.9435,28,1,9,18,0.179
64260079,1408560.33,12989.7,2.2122,0.0202,28,3,18,7,0.214
62899363,387143.97,3716.76,0.6214,0.7298,718,73,378,267,1.102
62896138,857234.11,7632.59,1.3751,0.8756,35,6,18,12,0.829
62706097,1195150.82,8056.75,1.9188,1.4852,16,1,1,14,0.063
62614053,1516770.0,7210.88,2.4339,1.3577,14,4,10,0,1.429
62118961,1143262.33,4780.74,1.8481,0.973,0,0,0,0,0.0
62062471,4493906.63,35145.85,7.2976,9.2481,15,0,1,14,0.933
60940323,4586884.94,31561.86,7.5786,8.6415,23,6,9,8,0.304
59276468,1925204.75,5906.84,3.2578,1.9773,23,4,4,4,0.917
58974258,384605.41,1878.23,0.6553,0.5057,555,129,160,266,3.378
58591940,1616371.15,16203.31,2.7863,0.7458,51,12,22,17,0.216
58181054,678711.32,5559.04,1.1761,0.4668,420,228,179,13,4.212
57439765,693038.17,2503.04,1.2109,1.3071,27,8,5,14,0.815
55869867,876565.0,5392.55,1.5786,2.3488,20,9,8,23,0.75
55165178,2745384.0,8745.58,4.9925,3.275,24,3,13,8,0.75
54634350,1397068.0,5836.7,2.5678,1.334,11,6,2,3,0.091
54512391,1541239.42,7579.64,2.8412,2.543,15,6,6,3,0.2
54422099,3028630.75,20350.11,5.6025,12.8069,8,1,3,4,0.0
54158640,398191.42,3509.69,0.7417,0.2203,14,2,3,9,4.429
54105006,3987302.67,18188.15,7.4032,8.5155,23,3,11,9,0.696
54054171,201090.73,952.79,0.3738,0.2619,655,246,279,130,0.377
53887887,2262103.5,9847.06,4.2161,2.173,2,2,0,0,0.0
53554512,976812.5,6598.76,1.8363,0.3956,88,5,77,6,0.784
53359256,1132707.39,2687.93,2.1278,2.1208,24,0,8,16,0.667
53210425,2984656.25,12541.24,5.6327,4.045,6,1,5,0,0.5
53190031,769200.1,3678.44,1.4531,0.5912,55,6,45,4,2.091
53092230,1435302.77,13384.04,2.7286,1.2065,25,9,13,3,0.12
