Followers,Average_Likes,Average_Comments,Average_Engagement_Rate,Engagement_Rate_(60_Days),Posting_frequency_(last_60_days),Posts_(image),Posts_(videos),Posts_(carousel),Average_Hashtags_/_Post_(60_Days)
4619,7.98,0.86,0.1914,0.184,20.0,15.0,1.0,4.0,5.8
6219,12.26,0.06,0.198,0.0607,40.0,11.0,0.0,29.0,2.575
1891,487.37,26.77,27.1885,44.6589,2.0,0.0,2.0,0.0,2.5
5529,18.09,0.43,0.3351,0.2904,17.0,0.0,0.0,17.0,24.471
5681,185.97,13.25,3.5067,3.9918,49.0,37.0,0.0,12.0,26.204
5010,123.6,0.98,2.4867,0.0,0.0,0.0,0.0,0.0,0.0
7674,133.8,5.46,1.8147,2.5736,2.0,1.0,0.0,1.0,0.0
3727,82.07,2.02,2.2562,2.4929,11.0,0.0,7.0,4.0,3.364
14615,1105.15,13.36,7.6531,4.1635,8.0,0.0,8.0,0.0,3.625
2054,164.37,11.45,8.5597,10.6621,1.0,0.0,0.0,1.0,0.0
4055,62.9,2.36,1.6094,2.7713,8.0,0.0,6.0,2.0,15.0
5628,268.93,60.87,5.86,3.376,4.0,0.0,3.0,1.0,25.0
6379,32.47,1.92,0.5392,0.2148,91.0,0.0,5.0,86.0,0.418
8749,219.33,19.67,2.7317,1.8377,9.0,3.0,5.0,1.0,0.778
2330,69.02,14.81,3.5976,3.6824,5.0,1.0,3.0,1.0,3.2
6478,119.31,11.9,2.0256,1.2765,13.0,1.0,12.0,0.0,0.538
5593,102.81,2.01,1.8741,0.0,0.0,0.0,0.0,0.0,0.0
6269,32.31,1.5,0.5394,0.0258,10.0,9.0,1.0,0.0,29.0
8617,58.99,2.53,0.7139,0.4944,10.0,0.0,10.0,0.0,10.0
10600,50.46,0.92,0.4848,0.4717,12.0,3.0,8.0,1.0,1.167
4787,7.72,0.59,0.1736,0.0653,8.0,0.0,8.0,0.0,14.875
2991,162.21,8.31,5.7009,4.6425,7.0,0.0,0.0,7.0,14.571
