Username,Likes Avg.,Followers,Comments Avg.,Engagement Rate (60 Days),Friends with other famous influencer,Posting frequency (last 60 days)
gucci,116555.03703703702,48757827,482.4913714804723,0.0019638737822321,0,0
louisvuitton,131578.75,48520702,652.7503496503497,0.0022505361101379,0,0
prillylatuconsina96,377882.0,48422538,1242.6037868162691,0.005910594621574,0,0
dovecameron,1609562.9166666667,48100914,2931.680706521739,0.0346999875944151,0,0
garethbale11,764641.0,47821374,3405.6266666666666,0.0108180036867025,0,0
paulodybala,1791513.8125,47720068,7572.242424242424,0.0249412338222984,0,0
blackpinkofficial,2116102.0,47647921,13236.61959287532,0.0306111817220937,0,0
jokowi,458723.7596153846,47352198,4422.624359704041,0.0048961692367566,0,0
nusr_et,730786.5833333334,46891641,5602.495934959349,0.0036812284748413,0,0
5.min.crafts,157499.2095441595,46618064,342.39361505812883,0.0003402270209613,0,0
vanessahudgens,636092.6530612245,46343441,1561.7421746293246,0.004894514461021,0,0
thv,15538683.0,46328487,0.3076923076923077,0.2862204108367975,0,0
harrystyles,4896516.5,46292534,61609.1875,0.0709446511393156,0,0
zayn,4713926.5,46197756,69133.05,0.0843533013262577,0,0
larissamanoela,579900.9357142857,46091767,6269.2542134831465,0.0045884263535317,0,0
haileybieber,2012107.0,45916230,217.9825327510917,0.0316523327244714,0,0
thenotoriousmma,1137054.125,45822094,4820.904489795918,0.0086489436203934,0,0
daddyyankee,650651.25,45807054,5624.246200607903,0.0168311036878018,0,0
travisscott,3014369.75,45803997,12261.449567723344,0.0513568908675375,0,0
natgeotravel,189864.001376989,45782549,455.881935826981,0.0011634874339007,0,0
nikefootball,431240.25,45180601,903.1043771043772,0.0044466213846934,0,0
stephencurry30,1090495.75,44569769,3599.1480362537764,0.0129830090766645,0,0
vancityreynolds,1366929.0,44507303,5184.585365853659,0.0326018371718425,0,0
luissuarez9,801790.5,44043371,3327.197889182058,0.0096381250288616,0,0
maisa,564755.7333333333,43950253,2424.5068846815834,0.0112838484207772,0,0
gusttavolima,476983.7142857143,43727522,6853.556216216216,0.0101943518114214,0,0
hrithikroshan,1615511.5,43427057,6873.607692307693,0.0382172948058499,0,0
nickyjam,383991.925,43340622,2543.3877094972067,0.0029729741310627,0,0
jannatzubair29,1326973.625,43312974,10851.721276595745,0.0206909626509665,0,0
varundvn,1065018.25,43215034,5572.776349614396,0.0154283155931743,0,0
brunamarquezine,1002055.0,43067731,7223.031700288185,0.009384194460582,0,0
caradelevingne,806313.0,42991683,2654.309803921569,0.009149281756825,0,0
buzzfeedtasty,67247.14945736433,42970746,454.87381275440976,0.0002834816507166,0,0
kapilsharma,664476.0,42000622,3186.9012738853503,0.011204072325977,0,0
britneyspears,523267.0714285714,41807497,9891.539451114922,0.0112609476728996,0,0
mariliamendoncacantora,1058071.0,41681598,10442.049090909091,0.0002506269205627,0,0
badbunnypr,3644587.5,41310397,58246.55778894472,0.146266454697248,0,0
dior,88831.49753694581,41223938,532.8151891423621,0.0015606360183799,0,0
norafatehi,1364004.6,41161527,5436.9662379421225,0.0225156653442236,0,0
jenniferaniston,4565592.5,40741767,36019.397260273974,0.0188405306938515,0,0
marinaruybarbosa,586382.3333333334,40573646,3469.904191616766,8.651627972459853e-05,0,0
addisonraee,3150451.0,40402560,8362.427152317881,0.0330116643224507,0,0
theweeknd,1141438.6666666667,40223677,7543.174358974359,0.039671213946651,0,0
ranveersingh,1015087.5,40112340,3003.619942196532,0.0075759470580558,0,0
andresiniesta8,250762.07142857145,39745058,715.553264604811,0.0040979608073302,0,0
princessyahrini,118171.125,39581466,692.5880102040817,1.751415982643136e-05,0,0
liverpoolfc,346707.99613784906,39515025,1254.344763271162,0.004200652923037,0,0
teddysphotos,738566.85,39439449,4255.0751565762,0.0070354032103839,0,0
georginagio,2237436.0,39025459,7401.983783783784,0.0875705825799869,0,0
natashawilona12,489665.375,38846946,3433.455525606469,0.0087578811926599,0,0
ruben_onsu,139324.50785773367,38776943,763.7349029867015,0.0013029248315222,0,0
mahi7781,4054863.25,38747041,67652.64,0.0017708230322919,0,0
chrissyteigen,631385.875,38516696,3798.853279242732,0.005296936633152,0,0
hm,89143.59722222222,38465468,280.13257305773345,0.0006758832387562,0,0
wizkhalifa,402888.9,38459483,2102.0629011553274,0.0037800274925877,0,0
j.m,14124890.5,38138950,0.5238095238095238,0.2987771491484441,0,0
anushkasen0408,695413.1192307692,37993409,5034.1755689735255,0.0175192706086068,0,0
worldstar,157546.17819540395,37818287,2493.1996207550424,0.0019609370206476,0,0
prattprattpratt,813539.0,37405186,4914.890243902439,0.0099787112109819,0,0
marvelstudios,594215.25,37389526,1983.7201210287444,0.0157566340860411,0,0
WesleySafadao,256129.7357142857,37149804,7318.797611565054,0.0001996183992421,0,0
parineetichopra,505700.3333333334,36973458,1639.3722466960353,0.006776970516173,0,0
cznburak,816501.0,36935601,8524.293877551021,0.0187011140580198,0,0
laudyacynthiabella,172773.75,36677982,544.6907449209932,0.0012185594487517,0,0
antogriezmann,1132433.0,36381765,4322.974193548387,0.0094182628333664,0,0
gisel_la,152328.63333333333,36318320,2451.686265060241,0.0022000861348019,0,0
eminem,1093015.5,36182573,9202.00925925926,0.0268908688929975,0,0
rkive,10938709.25,36005772,0.1764705882352941,4.971187329649839e-09,0,0
colesprouse,2286897.5,35979076,7860.226244343891,0.0312096589346598,0,0
nattinatasha,517671.2916666667,35925441,2717.1952095808383,0.0104419103726444,0,0
mercedesbenz,197897.8542694497,35833928,384.9082840236686,0.0018171487571576,0,0
tigerjackieshroff,1110818.8333333333,35453527,6014.289915966387,0.0169856235981652,0,0
barackobama,1130236.5,35433452,10506.670926517572,0.0143753570652208,0,0
shahidkapoor,1294704.75,35378098,5295.665198237885,0.0253842225600625,0,0
kimberly.loaiza,2668449.0,35190427,30747.96629213483,0.0478079684634776,0,0
sachintendulkar,800379.5,35033518,2110.816,0.0202981365244361,0,0
